[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS11.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS12.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS13.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS18.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS19.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS20.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS21.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS22.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS23.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS3.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:08][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS5.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS6.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS7.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS8.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS9.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJSImage.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/Syoukyaku.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC16.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:09][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC17.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:10][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC18.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:10][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC19.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:10][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/TKC20.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
