0,1,2,3
155,4,291,1944
156,.,362,1944
157,2,400,1944
158,8,456,1944
159,振,564,1944
160,込,673,1944
161,0,72,2071
162,4,122,2071
163,.,192,2071
164,0,236,2071
165,4,291,2071
166,.,360,2071
167,2,400,2071
168,8,457,2071
169,振,566,2071
170,込,675,2071
171,0,73,2208
172,4,121,2208
173,.,193,2208
174,0,237,2208
175,4,290,2208
176,.,361,2208
177,2,401,2208
178,8,458,2208
179,振,565,2208
180,込,673,2208
181,0,71,2347
182,4,120,2347
183,.,194,2347
184,0,240,2347
185,4,289,2347
186,.,362,2347
187,2,406,2347
188,8,458,2347
189,振,565,2347
190,込,676,2347
191,-,17,2481
192,0,68,2481
193,4,118,2481
194,.,190,2481
195,0,232,2481
196,5,291,2481
197,.,361,2481
198,0,401,2481
199,2,453,2481
200,社,563,2481
201,会,675,2481
202,保,781,2481
203,険,895,2481
204,0,70,2612
205,4,116,2612
206,.,186,2612
207,0,234,2612
208,5,294,2612
209,.,361,2612
210,0,399,2612
211,2,455,2612
212,ク,564,2612
213,レ,619,2612
214,ジ,675,2612
215,ッ,784,2612
216,ト,855,2612
217,0,69,2732
218,4,119,2732
219,.,193,2732
220,0,235,2732
221,5,291,2732
222,.,366,2732
223,0,399,2732
224,2,454,2732
225,振,563,2732
226,込,675,2732
227,0,74,2874
228,4,126,2874
229,.,195,2874
230,0,239,2874
231,5,295,2874
232,.,360,2874
233,0,403,2874
234,2,457,2874
235,C,569,2874
236,D,624,2874
237,カ,676,2874
238,ー,732,2874
239,ド,796,2874
240,0,74,3002
241,4,124,3002
242,.,196,3002
243,0,239,3002
244,5,295,3002
245,.,360,3002
246,0,405,3002
247,2,459,3002
248,C,572,3002
249,D,625,3002
250,カ,677,3002
251,ー,736,3002
252,ド,799,3002
253,0,82,3140
254,4,129,3140
255,.,203,3140
256,0,247,3140
257,5,304,3140
258,.,368,3140
259,0,413,3140
260,2,465,3140
261,C,580,3140
262,D,634,3140
263,カ,689,3140
264,ー,745,3140
265,ド,806,3140
266,0,86,3274
267,4,136,3274
268,.,207,3274
269,0,251,3274
270,5,309,3274
271,.,377,3274
272,0,416,3274
273,2,470,3274
274,C,582,3274
275,D,636,3274
276,カ,692,3274
277,ー,746,3274
278,ド,808,3274
279,0,86,3412
280,4,135,3412
281,.,208,3412
282,0,251,3412
283,5,307,3412
284,.,373,3412
285,0,417,3412
286,2,468,3412
287,C,583,3412
288,O,637,3412
289,カ,692,3412
290,ー,749,3412
291,ド,809,3412
292,*,1315,91
293,2,1375,91
294,2,1426,91
295,4,1484,91
296,",",1547,91
297,3,1592,91
298,3,1650,91
299,0,1704,91
300,〒,1806,91
301,3,1921,91
302,3,1981,91
303,0,2035,91
304,/,2107,91
305,*,1320,224
306,1,1377,224
307,8,1427,224
308,6,1486,224
309,",",1548,224
310,9,1591,224
311,4,1650,224
312,5,1711,224
313,F,1818,224
314,3,1923,224
315,3,1982,224
316,0,2035,224
317,*,1374,358
318,7,1432,358
319,0,1489,358
320,",",1552,358
321,3,1600,358
322,3,1656,358
323,0,1709,358
324,-,1818,358
325,3,1929,358
326,3,1985,358
327,0,2039,358
328,K,2177,303
329,#,1375,486
330,1,1430,486
331,0,1484,486
332,",",1550,486
333,0,1594,486
334,0,1654,486
335,0,1708,486
336,(,2324,486
337,0,2368,486
338,2,2420,486
339,6,2480,486
340,),2540,486
341,*,1373,622
342,1,1436,622
343,6,1491,622
344,",",1549,622
345,0,1596,622
346,0,1667,622
347,0,1708,622
348,シ,1817,622
349,ョ,1875,622
350,ウ,1923,622
351,コ,1985,622
352,ウ,2036,622
353,カ,2093,622
354,イ,2150,622
355,キ,2204,622
356,シ,2314,622
357,ョ,2368,622
358,ヒ,2422,622
359,ロ,2485,622
360,シ,2527,622
361,*,1373,761
362,2,1433,761
363,9,1493,761
364,",",1553,761
365,8,1597,761
366,6,1656,761
367,0,1707,761
368,ト,1829,761
369,ウ,1872,761
370,キ,1923,761
371,ョ,1982,761
372,ウ,2036,761
373,カ,2092,761
374,イ,2150,761
375,シ,2202,761
376,ヨ,2317,761
377,ウ,2368,761
378,ニ,2428,761
379,チ,2483,761
380,ト,2549,761
381,*,1376,890
382,4,1434,890
383,5,1492,890
384,",",1552,890
385,3,1599,890
386,3,1658,890
387,0,1712,890
388,ト,1832,890
389,ウ,1872,890
390,キ,1924,890
391,ョ,1986,890
392,ウ,2039,890
393,カ,2094,890
394,イ,2155,890
395,シ,2206,890
396,"""",2253,890
397,ヨ,2319,890
398,ウ,2369,890
399,ニ,2429,890
400,チ,2484,890
401,ト,2549,890
402,*,1372,1035
403,4,1430,1035
404,8,1487,1035
405,",",1547,1035
406,4,1597,1035
407,0,1658,1035
408,0,1706,1035
409,D,1819,1035
410,F,1870,1035
411,.,1930,1035
412,コ,1982,1035
413,モ,2040,1035
414,ン,2088,1035
415,リ,2150,1035
416,ヨ,2205,1035
417,ウ,2254,1035
418,*,1423,1162
419,1,1492,1162
420,",",1548,1162
421,5,1596,1162
422,1,1657,1162
423,3,1707,1162
424,チ,1814,1162
425,ュ,1872,1162
426,ピ,1926,1162
427,C,2039,1162
428,O,2092,1162
429,M,2148,1162
430,プ,2197,1298
431,*,1375,1298
432,9,1436,1298
433,3,1495,1298
434,",",1554,1298
435,9,1599,1298
436,4,1656,1298
437,0,1713,1298
438,〒,1818,1298
439,3,1931,1298
440,3,1990,1298
441,0,2044,1298
442,*,1381,1431
443,5,1440,1431
444,6,1493,1431
445,",",1555,1431
446,2,1601,1431
447,0,1660,1431
448,0,1714,1431
449,*,2163,1546
450,2,2220,1546
451,2,2269,1546
452,0,2329,1546
453,",",2389,1546
454,0,2437,1494
455,0,2489,1494
456,0,2548,1494
457,,2611,1494
458,*,2167,1944
459,5,2226,1944
460,2,2276,1944
461,7,2336,1944
462,.,2392,1944
463,6,2440,1944
464,7,2497,1944
465,0,2552,1944
466,*,2220,2071
467,1,2276,2071
468,3,2337,2071
469,",",2393,2071
470,2,2441,2071
471,0,2498,2071
472,0,2551,2071
473,*,2169,2208
474,2,2226,2208
475,6,2279,2208
476,0,2334,2208
477,.,2399,2208
478,5,2447,2208
479,6,2501,2208
480,9,2556,2208
481,*,2225,2347
482,8,2282,2347
483,7,2340,2347
484,",",2398,2347
485,7,2448,2347
486,8,2503,2347
487,0,2558,2347
488,$,2222,2732
489,7,2283,2732
490,5,2336,2732
491,",",2395,2732
492,0,2443,2732
493,0,2501,2732
494,0,2555,2732
495,(,2360,3140
496,0,2401,3140
497,2,2454,3140
498,5,2516,3140
499,),2573,3140
500,(,2361,3274
501,0,2403,3274
502,2,2454,3274
503,5,2517,3274
504,),2571,3274
505,(,2365,3412
506,0,2406,3412
507,2,2457,3412
508,5,2521,3412
509,),2575,3412
510,ツ,1001,1546
511,カ,1054,1546
512,サ,1112,1546
513,ケ,1167,1546
514,ン,1222,1546
515,チ,1276,1546
516,ク,1334,1546
517,コ,1388,1546
518,ウ,1439,1546
519,ボ,1497,1546
520,ウ,1604,1546
521,(,1681,1546
522,カ,1717,1546
523,ミ,1008,1944
524,ツ,1060,1944
525,イ,1116,1944
526,マ,1175,1944
527,ン,1226,1944
528,テ,1281,1944
529,ン,1338,1944
530,ド,1401,1944
531,ッ,1428,1944
532,ク,1500,1944
533,(,1575,1944
534,カ,1612,1944
535,カ,1006,2071
536,),1073,2071
537,サ,1119,2071
538,ザ,1174,2071
539,ト,1018,2208
540,ー,1065,2208
541,ケ,1115,2208
542,ン,1176,2208
543,コ,1231,2208
544,ー,1283,2208
545,ポ,1339,2208
546,レ,1448,2208
547,ー,1504,2208
548,シ,1559,2208
549,ョ,1613,2208
550,ン,1670,2208
551,エ,1014,2347
552,イ,1067,2347
553,ゼ,1120,2347
554,ン,1228,2347
555,*,1338,2481
556,4,1396,2481
557,8,1448,2481
558,0,1508,2481
559,",",1567,2481
560,7,1615,2481
561,2,1672,2481
562,7,1727,2481
563,1,1400,2612
564,0,1458,2612
565,1,1508,2612
566,",",1567,2612
567,0,1622,2612
568,3,1672,2612
569,5,1726,2612
570,T,1835,2612
571,F,1889,2612
572,),1945,2612
573,レ,1989,2612
574,ク,2051,2612
575,サ,2104,2612
576,ス,2163,2612
577,マ,1010,2732
578,ツ,1058,2732
579,モ,1118,2732
580,ト,1183,2732
581,ト,1238,2732
582,ソ,1280,2732
583,ウ,1338,2732
584,テ,1391,2732
585,ン,1446,2732
586,マ,1559,2732
587,ツ,1610,2732
588,モ,1672,2732
589,ト,1735,2732
590,*,1340,2874
591,2,1396,2874
592,9,1450,2874
593,4,1508,2874
594,",",1571,2874
595,8,1616,2874
596,0,1674,2874
597,0,1728,2874
598,*,1345,3002
599,2,1397,3002
600,2,1448,3002
601,8,1510,3002
602,",",1573,3002
603,1,1617,3002
604,0,1676,3002
605,9,1729,3002
606,*,1352,3140
607,3,1406,3140
608,8,1461,3140
609,5,1524,3140
610,",",1578,3140
611,0,1625,3140
612,0,1684,3140
613,0,1740,3140
614,#,1354,3274
615,1,1409,3274
616,4,1460,3274
617,6,1521,3274
618,",",1580,3274
619,0,1626,3274
620,0,1686,3274
621,0,1742,3274
622,*,1355,3412
623,7,1413,3412
624,0,1463,3412
625,0,1519,3412
626,",",1582,3412
627,0,1628,3412
628,0,1687,3412
629,0,1740,3412
630,/,2297,224
631,*,2914,91
632,5,2979,91
633,",",3034,91
634,2,3082,91
635,0,3142,91
636,5,3197,91
637,",",3253,91
638,4,3305,91
639,7,3363,91
640,3,3414,91
641,*,2912,224
642,5,2980,224
643,.,3037,224
644,0,3083,224
645,1,3142,224
646,8,3196,224
647,",",3255,224
648,5,3310,224
649,2,3362,224
650,8,3416,224
651,*,2919,358
652,4,2980,358
653,",",3041,358
654,9,3089,358
655,4,3147,358
656,8,3200,358
657,",",3262,358
658,1,3310,358
659,9,3367,358
660,8,3420,358
661,*,2917,486
662,4,2981,486
663,",",3037,486
664,9,3084,486
665,3,3146,486
666,8,3200,486
667,",",3258,486
668,1,3308,486
669,9,3363,486
670,8,3415,486
671,*,2920,622
672,4,2979,622
673,",",3041,622
674,9,3085,622
675,2,3144,622
676,2,3199,622
677,",",3259,622
678,1,3310,622
679,9,3363,622
680,8,3417,622
681,4,2985,761
682,",",3046,761
683,8,3088,761
684,9,3148,761
685,2,3202,761
686,",",3262,761
687,3,3310,761
688,3,3366,761
689,8,3420,761
690,*,2921,890
691,4,2985,890
692,",",3040,890
693,8,3090,890
694,4,3150,890
695,7,3205,890
696,",",3258,890
697,0,3314,890
698,0,3367,890
699,8,3420,890
700,*,2917,1035
701,4,2982,1035
702,",",3043,1035
703,7,3088,1035
704,9,3146,1035
705,8,3200,1035
706,",",3262,1035
707,6,3310,1035
708,0,3365,1035
709,8,3418,1035
710,*,2921,1162
711,4,2980,1162
712,.,3041,1162
713,7,3091,1162
714,9,3144,1162
715,7,3202,1162
716,",",3261,1162
717,0,3310,1162
718,9,3364,1162
719,5,3420,1162
720,$,2924,1298
721,4,2986,1298
722,",",3043,1298
723,7,3091,1298
724,0,3150,1298
725,3,3203,1298
726,",",3264,1298
727,1,3314,1298
728,5,3370,1298
729,5,3424,1298
730,*,2924,1431
731,4,2984,1431
732,",",3044,1431
733,6,3093,1431
734,4,3150,1431
735,6,3203,1431
736,",",3263,1431
737,9,3316,1431
738,5,3372,1431
739,5,3424,1431
740,*,2933,1546
741,4,2992,1546
742,.,3052,1546
743,8,3101,1546
744,6,3157,1546
745,6,3212,1546
746,.,3272,1546
747,9,3321,1546
748,5,3380,1546
749,5,3433,1546
750,$,2939,1944
751,5,3001,1944
752,",",3058,1944
753,3,3104,1944
754,9,3164,1944
755,4,3220,1944
756,",",3278,1944
757,6,3329,1944
758,2,3381,1944
759,5,3439,1944
760,#,2938,2071
761,5,3001,2071
762,",",3057,2071
763,4,3104,2071
764,0,3162,2071
765,7,3222,2071
766,",",3277,2071
767,8,3327,2071
768,2,3381,2071
769,5,3436,2071
770,*,2937,2208
771,5,2999,2208
772,",",3055,2208
773,6,3105,2208
774,6,3162,2208
775,8,3218,2208
776,",",3275,2208
777,3,3328,2208
778,9,3383,2208
779,4,3436,2208
780,*,2937,2347
781,5,3000,2347
782,.,3059,2347
783,7,3112,2347
784,5,3165,2347
785,6,3220,2347
786,.,3276,2347
787,1,3327,2347
788,7,3388,2347
789,4,3439,2347
790,#,2933,2481
791,5,2999,2481
792,",",3055,2481
793,2,3101,2481
794,7,3162,2481
795,5,3218,2481
796,",",3273,2481
797,4,3324,2481
798,4,3380,2481
799,7,3434,2481
800,#,2936,2612
801,5,2998,2612
802,",",3057,2612
803,1,3103,2612
804,7,3165,2612
805,4,3216,2612
806,",",3275,2612
807,4,3327,2561
808,1,3380,2561
809,2,3433,2561
810,*,2936,2732
811,5,3000,2732
812,.,3059,2732
813,2,3104,2732
814,4,3164,2732
815,9,3218,2732
816,",",3275,2732
817,4,3325,2732
818,1,3381,2732
819,2,3435,2732
820,*,2936,2874
821,4,3002,2874
822,",",3062,2874
823,9,3106,2874
824,5,3168,2874
825,4,3219,2874
826,",",3281,2874
827,6,3327,2874
828,1,3388,2874
829,2,3437,2874
830,*,2938,3002
831,4,3001,3002
832,",",3058,3002
833,7,3112,3002
834,2,3164,3002
835,6,3223,3002
836,",",3276,3002
837,5,3334,3002
838,0,3384,3002
839,3,3439,3002
840,*,2950,3140
841,4,3007,3140
842,",",3071,3140
843,3,3117,3140
844,4,3174,3140
845,1,3230,3140
846,",",3290,3140
847,5,3343,3140
848,0,3395,3140
849,3,3448,3140
850,*,2951,3274
851,4,3013,3274
852,.,3074,3274
853,1,3120,3274
854,9,3175,3274
855,5,3235,3274
856,.,3293,3274
857,5,3344,3274
858,0,3395,3274
859,3,3449,3274
860,#,2954,3412
861,3,3014,3412
862,",",3072,3412
863,4,3122,3412
864,9,3177,3412
865,5,3237,3412
866,",",3291,3412
867,5,3347,3412
868,0,3397,3412
869,3,3453,3412
