"行","コード","関与先名・納税者名","税務署","課税方式区分","書類作成","電子申請ﾃﾞｰﾀ作成","担当者"
"154","05121/726","㈱チウラ","広島北","簡易課税方式","済","済","岡村　直幸"
"155","05121/727","株式会社　わちゃめち","広島東","簡易課税方式","済","済","河野　秀太"
"156","05121/744","加計電装　株式会社","広島北","簡易課税方式","済","済","岡村　直幸"
"157","05121/748","㈲木島商店","廿日市","簡易課税方式","済","済","岡村　直幸"
"158","05121/752","株式会社　ヒロツク","広島西","本則課税方式","済","済","岡村　直幸"
"159","05121/755","㈱仁井田造園","廿日市","簡易課税方式","済","済","佐々木　博也"
"160","05121/756","曽里舗装㈱","広島北","本則課税方式","済","済","河野　秀太"
"161","05121/761","株式会社　双栄","廿日市","本則課税方式","済","済","佐々木　博也"
"162","05121/765","㈱光","広島北","本則課税方式","済","済","木村　大介"
"163","05121/775","㈱いでした","立川","本則課税方式","済","済","安田　祥英"
"164","05121/777","株式会社　フォーエム","広島北","本則課税方式","済","済","岡村　直幸"
"165","05121/783","㈱ＳＫＢ","広島西","本則課税方式","済","済","横井　要"
"166","05121/793","西部建設㈱","広島西","本則課税方式","済","済","佐々木　博也"
"167","05121/794","皆得建工㈱","広島西","本則課税方式","済","済","木村　大介"
"168","05121/795","㈲カリノ建設","廿日市","本則課税方式","済","済","横井　要"
"169","05121/813","株式会社　ピース","広島北","本則課税方式","済","済","佐々木　博也"
"170","05121/820","株式会社　カオル観光","広島北","本則課税方式","済","済","安田　祥英"
"171","05121/821","㈱こだまどうぶつ病院","廿日市","簡易課税方式","済","済","加藤　雄也"
"172","05121/830","㈱警研社","広島北","簡易課税方式","済","済","岡村　直幸"
"173","05121/835","SEED総合技建","広島南","本則課税方式","済","済","山田　健司"
"174","05121/839","検診協会","広島西","本則課税方式","済","済","河野　秀太"
"175","05121/849","㈱ｱｸﾃｨｽ","広島北","本則課税方式","済","済","三上　貴史"
"176","05121/851","株式会社　勝組","廿日市","本則課税方式","済","済","横井　要"
"177","05121/852","ＢｉｚＥａｒｔｈ　株","広島西","本則課税方式","済","済","横井　要"
"178","05121/853","ｱｲﾃｨｰﾌﾟﾗｽ","広島西","本則課税方式","済","済","佐々木　博也"
"179","05121/856","ｴﾙ･ｷｭｰﾋﾞｯｸ㈱","廿日市","本則課税方式","済","済","岡村　直幸"
"180","05121/858","医療法人社団　鍈紀会","広島北","簡易課税方式","済","済","山田　健司"
"181","05121/867","(株)スマイルフィッシ","広島東","本則課税方式","済","済","前田　拓哉"
"182","05121/870","㈱与壱","広島西","簡易課税方式","済","済","安田　祥英"
"183","05121/871","㈱Lupinus","広島西","簡易課税方式","済","済","安田　祥英"
